iter	Passed	Remaining
778	8410	20739
779	8426	20741
780	8440	20739
781	8458	20745
782	8475	20750
783	8491	20751
784	8504	20746
785	8517	20741
786	8535	20747
787	8546	20736
788	8554	20720
789	8564	20707
790	8575	20697
791	8586	20685
792	8595	20669
793	8604	20654
794	8611	20634
795	8620	20618
796	8630	20606
797	8640	20593
798	8652	20586
799	8661	20570
800	8675	20568
801	8686	20557
802	8697	20547
803	8710	20540
804	8729	20550
805	8743	20546
806	8758	20545
807	8774	20545
808	8788	20543
809	8805	20545
810	8822	20550
811	8836	20545
812	8851	20544
813	8864	20539
814	8878	20535
815	8894	20535
816	8909	20534
817	8921	20525
818	8937	20526
819	8949	20517
820	8959	20504
821	8972	20499
822	8984	20490
823	9012	20518
824	9039	20545
825	9053	20540
826	9066	20533
827	9078	20524
828	9092	20521
829	9103	20511
830	9119	20510
831	9131	20502
832	9140	20486
833	9155	20484
834	9169	20479
835	9183	20475
836	9194	20465
837	9205	20453
838	9215	20441
839	9227	20431
840	9238	20421
841	9250	20411
842	9261	20401
843	9273	20393
844	9284	20381
845	9295	20371
846	9305	20357
847	9315	20345
848	9327	20335
849	9342	20334
850	9354	20325
851	9365	20314
852	9376	20302
853	9387	20292
854	9397	20277
855	9406	20263
856	9422	20262
857	9432	20250
858	9448	20248
859	9463	20248
860	9478	20246
861	9494	20243
862	9507	20238
863	9523	20236
864	9535	20227
865	9545	20215
866	9556	20205
867	9567	20194
868	9578	20181
869	9586	20165
870	9596	20150
871	9610	20145
872	9621	20136
873	9631	20123
874	9640	20107
875	9649	20091
876	9658	20077
877	9668	20062
878	9678	20050
879	9688	20036
880	9697	20022
881	9706	20006
882	9717	19996
883	9728	19984
884	9737	19970
885	9747	19956
886	9755	19939
887	9763	19923
888	9773	19909
889	9781	19892
890	9803	19905
891	9812	19889
892	9822	19875
893	9832	19863
894	9841	19848
895	9849	19830
896	9858	19815
897	9866	19799
898	9875	19784
899	9885	19770
900	9894	19756
901	9904	19742
902	9913	19728
903	9922	19713
904	9931	19698
905	9940	19683
906	9948	19667
907	9958	19654
908	9967	19639
909	9977	19625
910	9987	19613
911	9999	19603
912	10011	19596
913	10049	19636
914	10064	19634
915	10073	19619
916	10081	19602
917	10091	19588
918	10100	19574
919	10110	19562
920	10118	19545
921	10128	19531
922	10136	19515
923	10154	19517
924	10163	19502
925	10176	19496
926	10186	19483
927	10196	19469
928	10204	19453
929	10214	19440
930	10225	19429
931	10235	19417
932	10246	19405
933	10257	19395
934	10269	19386
935	10279	19372
936	10289	19360
937	10300	19348
938	10311	19338
939	10320	19324
940	10332	19315
941	10346	19309
942	10362	19307
943	10379	19308
944	10395	19305
945	10410	19302
946	10421	19291
947	10437	19290
948	10450	19282
949	10465	19278
950	10478	19272
951	10493	19267
952	10508	19263
953	10523	19259
954	10537	19254
955	10550	19246
956	10561	19234
957	10573	19226
958	10583	19213
959	10592	19198
960	10603	19186
961	10613	19175
962	10622	19161
963	10632	19147
964	10645	19140
965	10654	19125
966	10665	19113
967	10676	19103
968	10687	19091
969	10698	19080
970	10708	19068
971	10720	19059
972	10732	19049
973	10742	19036
974	10753	19025
975	10761	19009
976	10770	18993
977	10779	18980
978	10790	18968
979	10800	18956
980	10810	18943
981	10826	18941
982	10837	18929
983	10846	18914
984	10861	18910
985	10870	18896
986	10880	18883
987	10889	18869
988	10897	18853
989	10907	18840
990	10916	18824
991	10923	18808
992	10933	18794
993	10948	18791
994	10963	18786
995	10974	18776
996	10985	18764
997	10995	18752
998	11005	18738
999	11020	18734
1000	11030	18721
1001	11073	18764
1002	11086	18757
1003	11097	18746
1004	11107	18732
1005	11119	18723
1006	11131	18714
1007	11145	18708
1008	11161	18706
1009	11177	18703
1010	11193	18700
1011	11203	18688
1012	11220	18686
1013	11233	18678
1014	11247	18671
1015	11262	18666
1016	11277	18662
1017	11291	18656
1018	11304	18649
1019	11319	18643
1020	11331	18634
1021	11342	18623
1022	11357	18618
1023	11370	18610
1024	11384	18603
1025	11396	18594
1026	11407	18582
1027	11419	18574
1028	11434	18569
1029	11445	18557
1030	11457	18547
1031	11468	18536
1032	11483	18531
1033	11499	18528
1034	11514	18522
1035	11529	18518
1036	11543	18512
1037	11559	18508
1038	11574	18503
1039	11588	18497
1040	11599	18485
1041	11613	18478
1042	11626	18471
1043	11639	18462
1044	11653	18456
1045	11665	18446
1046	11677	18435
1047	11690	18427
1048	11702	18417
1049	11713	18406
1050	11728	18401
1051	11738	18388
1052	11752	18381
1053	11767	18377
1054	11779	18367
1055	11789	18354
1056	11799	18341
1057	11813	18334
1058	11825	18324
1059	11835	18311
1060	11845	18297
1061	11855	18285
1062	11864	18270
1063	11874	18257
1064	11883	18243
1065	11892	18228
1066	11901	18215
1067	11912	18202
1068	11923	18191
1069	11934	18180
1070	11946	18170
1071	11960	18164
1072	11972	18154
1073	11984	18144
1074	12000	18139
1075	12010	18127
1076	12021	18115
1077	12033	18105
1078	12047	18099
